type,t_us,idx,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
IMU,4856777.0,1,0.2456,0.1157,0.9688,0.0,0.06,0.0,6.81,-14.22,32.15,26.9,,,,,,,,,,,,,,,,
IMU,4853704.0,2,0.1567,0.147,0.9785,0.0,0.06,0.0,8.59,-8.83,32.03,27.5,,,,,,,,,,,,,,,,
IMU,4856777.0,1,0.2456,0.1157,0.9688,0.0,0.06,0.0,6.81,-14.22,32.15,26.9,,,,,,,,,,,,,,,,
IMU,4853704.0,2,0.1567,0.147,0.9785,0.0,0.06,0.0,8.59,-8.83,32.03,27.5,,,,,,,,,,,,,,,,
IMU,4956971.0,1,0.248,0.1167,0.9658,0.0,-0.18,0.0,6.81,-14.22,32.15,26.8,,,,,,,,,,,,,,,,
IMU,4953617.0,2,0.1553,0.147,0.98,0.18,-0.12,0.0,8.59,-8.83,32.03,27.6,,,,,,,,,,,,,,,,
IMU,4956971.0,1,0.248,0.1167,0.9658,0.0,-0.18,0.0,6.81,-14.22,32.15,26.8,,,,,,,,,,,,,,,,
IMU,4953617.0,2,0.1553,0.147,0.98,0.18,-0.12,0.0,8.59,-8.83,32.03,27.6,,,,,,,,,,,,,,,,
IMU,4956971.0,1,0.248,0.1167,0.9658,0.0,-0.18,0.0,6.81,-14.22,32.15,26.8,,,,,,,,,,,,,,,,
IMU,5053456.0,2,0.1558,0.1455,0.9766,0.06,0.0,0.0,8.59,-8.83,32.03,27.6,,,,,,,,,,,,,,,,
IMU,5057184.0,1,0.248,0.1138,0.9688,0.0,-0.18,0.0,6.81,-14.21,32.15,26.7,,,,,,,,,,,,,,,,
IMU,5053456.0,2,0.1558,0.1455,0.9766,0.06,0.0,0.0,8.59,-8.83,32.03,27.6,,,,,,,,,,,,,,,,
IMU,5057184.0,1,0.248,0.1138,0.9688,0.0,-0.18,0.0,6.81,-14.21,32.15,26.7,,,,,,,,,,,,,,,,
IMU,5053456.0,2,0.1558,0.1455,0.9766,0.06,0.0,0.0,8.59,-8.83,32.03,27.6,,,,,,,,,,,,,,,,
IMU,5157288.0,1,0.2495,0.1172,0.9644,0.0,0.0,0.0,6.81,-14.22,32.15,26.8,,,,,,,,,,,,,,,,
IMU,5153430.0,2,0.1484,0.1465,0.9785,0.06,0.12,0.0,8.59,-8.83,32.03,27.7,,,,,,,,,,,,,,,,
IMU,5157288.0,1,0.2495,0.1172,0.9644,0.0,0.0,0.0,6.81,-14.22,32.15,26.8,,,,,,,,,,,,,,,,
IMU,5153430.0,2,0.1484,0.1465,0.9785,0.06,0.12,0.0,8.59,-8.83,32.03,27.7,,,,,,,,,,,,,,,,
IMU,5157288.0,1,0.2495,0.1172,0.9644,0.0,0.0,0.0,6.81,-14.22,32.15,26.8,,,,,,,,,,,,,,,,
IMU,5253326.0,2,0.1553,0.145,0.9785,0.12,0.0,0.0,8.59,-8.83,32.03,27.5,,,,,,,,,,,,,,,,
IMU,5257538.0,1,0.251,0.1147,0.9653,0.0,-0.18,0.0,6.81,-14.21,32.15,26.8,,,,,,,,,,,,,,,,
IMU,5253326.0,2,0.1553,0.145,0.9785,0.12,0.0,0.0,8.59,-8.83,32.03,27.5,,,,,,,,,,,,,,,,
IMU,5257538.0,1,0.251,0.1147,0.9653,0.0,-0.18,0.0,6.81,-14.21,32.15,26.8,,,,,,,,,,,,,,,,
IMU,5253326.0,2,0.1553,0.145,0.9785,0.12,0.0,0.0,8.59,-8.83,32.03,27.5,,,,,,,,,,,,,,,,
IMU,5357716.0,1,0.248,0.1172,0.9634,-0.12,0.0,0.0,6.81,-14.21,32.15,26.8,,,,,,,,,,,,,,,,
IMU,5353256.0,2,0.1538,0.145,0.979,0.06,0.31,0.0,8.59,-8.82,32.03,27.4,,,,,,,,,,,,,,,,
IMU,5357716.0,1,0.248,0.1172,0.9634,-0.12,0.0,0.0,6.81,-14.21,32.15,26.8,,,,,,,,,,,,,,,,
IMU,5353256.0,2,0.1538,0.145,0.979,0.06,0.31,0.0,8.59,-8.82,32.03,27.4,,,,,,,,,,,,,,,,
IMU,5357716.0,1,0.248,0.1172,0.9634,-0.12,0.0,0.0,6.81,-14.21,32.15,26.8,,,,,,,,,,,,,,,,
IMU,5453159.0,2,0.1572,0.1455,0.9756,0.12,-0.18,0.0,8.59,-8.83,32.03,27.6,,,,,,,,,,,,,,,,
IMU,5457926.0,1,0.2446,0.1157,0.9658,-0.06,-0.06,0.0,6.81,-14.22,32.15,26.8,,,,,,,,,,,,,,,,
IMU,5453159.0,2,0.1572,0.1455,0.9756,0.12,-0.18,0.0,8.59,-8.83,32.03,27.6,,,,,,,,,,,,,,,,
IMU,5457926.0,1,0.2446,0.1157,0.9658,-0.06,-0.06,0.0,6.81,-14.22,32.15,26.8,,,,,,,,,,,,,,,,
IMU,5453159.0,2,0.1572,0.1455,0.9756,0.12,-0.18,0.0,8.59,-8.83,32.03,27.6,,,,,,,,,,,,,,,,
IMU,5558107.0,1,0.2461,0.1152,0.9648,0.06,-0.06,0.0,6.81,-14.21,32.15,26.8,,,,,,,,,,,,,,,,
IMU,5553100.0,2,0.1543,0.1445,0.9775,0.06,-0.06,0.0,8.59,-8.82,32.03,27.7,,,,,,,,,,,,,,,,
IMU,5558107.0,1,0.2461,0.1152,0.9648,0.06,-0.06,0.0,6.81,-14.21,32.15,26.8,,,,,,,,,,,,,,,,
IMU,5553100.0,2,0.1543,0.1445,0.9775,0.06,-0.06,0.0,8.59,-8.82,32.03,27.7,,,,,,,,,,,,,,,,
