type,t_us,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
IMU,4825913.0,-0.0005,0.1396,0.9888,0.0,0.0,0.0,8.3,0.14,0.53,26.3,,,,,,,,,,,,,,,,
IMU,4825913.0,-0.0005,0.1396,0.9888,0.0,0.0,0.0,8.3,0.14,0.53,26.3,,,,,,,,,,,,,,,,
IMU,4825913.0,-0.0005,0.1396,0.9888,0.0,0.0,0.0,8.3,0.14,0.53,26.3,,,,,,,,,,,,,,,,
IMU,4825913.0,-0.0005,0.1396,0.9888,0.0,0.0,0.0,8.3,0.14,0.53,26.3,,,,,,,,,,,,,,,,
IMU,4825913.0,-0.0005,0.1396,0.9888,0.0,0.0,0.0,8.3,0.14,0.53,26.3,,,,,,,,,,,,,,,,
IMU,4825913.0,-0.0005,0.1396,0.9888,0.0,0.0,0.0,8.3,0.14,0.53,26.3,,,,,,,,,,,,,,,,
IMU,4825913.0,-0.0005,0.1396,0.9888,0.0,0.0,0.0,8.3,0.14,0.53,26.3,,,,,,,,,,,,,,,,
IMU,4825913.0,-0.0005,0.1396,0.9888,0.0,0.0,0.0,8.3,0.14,0.53,26.3,,,,,,,,,,,,,,,,
IMU,4925819.0,0.0,0.1421,0.9897,0.12,0.0,0.0,8.29,0.14,0.53,26.0,,,,,,,,,,,,,,,,
IMU,4925819.0,0.0,0.1421,0.9897,0.12,0.0,0.0,8.29,0.14,0.53,26.0,,,,,,,,,,,,,,,,
IMU,4925819.0,0.0,0.1421,0.9897,0.12,0.0,0.0,8.29,0.14,0.53,26.0,,,,,,,,,,,,,,,,
IMU,4925819.0,0.0,0.1421,0.9897,0.12,0.0,0.0,8.29,0.14,0.53,26.0,,,,,,,,,,,,,,,,
IMU,4925819.0,0.0,0.1421,0.9897,0.12,0.0,0.0,8.29,0.14,0.53,26.0,,,,,,,,,,,,,,,,
IMU,4925819.0,0.0,0.1421,0.9897,0.12,0.0,0.0,8.29,0.14,0.53,26.0,,,,,,,,,,,,,,,,
IMU,4925819.0,0.0,0.1421,0.9897,0.12,0.0,0.0,8.29,0.14,0.53,26.0,,,,,,,,,,,,,,,,
IMU,4925819.0,0.0,0.1421,0.9897,0.12,0.0,0.0,8.29,0.14,0.53,26.0,,,,,,,,,,,,,,,,
IMU,4925819.0,0.0,0.1421,0.9897,0.12,0.0,0.0,8.29,0.14,0.53,26.0,,,,,,,,,,,,,,,,
IMU,4925819.0,0.0,0.1421,0.9897,0.12,0.0,0.0,8.29,0.14,0.53,26.0,,,,,,,,,,,,,,,,
IMU,5025739.0,-0.001,0.1382,0.9907,0.18,0.0,0.0,8.29,0.14,0.53,25.9,,,,,,,,,,,,,,,,
IMU,5025739.0,-0.001,0.1382,0.9907,0.18,0.0,0.0,8.29,0.14,0.53,25.9,,,,,,,,,,,,,,,,
IMU,5025739.0,-0.001,0.1382,0.9907,0.18,0.0,0.0,8.29,0.14,0.53,25.9,,,,,,,,,,,,,,,,
IMU,5025739.0,-0.001,0.1382,0.9907,0.18,0.0,0.0,8.29,0.14,0.53,25.9,,,,,,,,,,,,,,,,
IMU,5025739.0,-0.001,0.1382,0.9907,0.18,0.0,0.0,8.29,0.14,0.53,25.9,,,,,,,,,,,,,,,,
IMU,5025739.0,-0.001,0.1382,0.9907,0.18,0.0,0.0,8.29,0.14,0.53,25.9,,,,,,,,,,,,,,,,
IMU,5025739.0,-0.001,0.1382,0.9907,0.18,0.0,0.0,8.29,0.14,0.53,25.9,,,,,,,,,,,,,,,,
IMU,5025739.0,-0.001,0.1382,0.9907,0.18,0.0,0.0,8.29,0.14,0.53,25.9,,,,,,,,,,,,,,,,
IMU,5025739.0,-0.001,0.1382,0.9907,0.18,0.0,0.0,8.29,0.14,0.53,25.9,,,,,,,,,,,,,,,,
IMU,5025739.0,-0.001,0.1382,0.9907,0.18,0.0,0.0,8.29,0.14,0.53,25.9,,,,,,,,,,,,,,,,
IMU,5125690.0,-0.0024,0.1416,0.9902,0.06,0.0,0.0,8.29,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5125690.0,-0.0024,0.1416,0.9902,0.06,0.0,0.0,8.29,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5125690.0,-0.0024,0.1416,0.9902,0.06,0.0,0.0,8.29,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5125690.0,-0.0024,0.1416,0.9902,0.06,0.0,0.0,8.29,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5125690.0,-0.0024,0.1416,0.9902,0.06,0.0,0.0,8.29,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5125690.0,-0.0024,0.1416,0.9902,0.06,0.0,0.0,8.29,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5125690.0,-0.0024,0.1416,0.9902,0.06,0.0,0.0,8.29,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5125690.0,-0.0024,0.1416,0.9902,0.06,0.0,0.0,8.29,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5125690.0,-0.0024,0.1416,0.9902,0.06,0.0,0.0,8.29,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5125690.0,-0.0024,0.1416,0.9902,0.06,0.0,0.0,8.29,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5225617.0,-0.0024,0.1436,0.9888,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5225617.0,-0.0024,0.1436,0.9888,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5225617.0,-0.0024,0.1436,0.9888,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5225617.0,-0.0024,0.1436,0.9888,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5225617.0,-0.0024,0.1436,0.9888,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5225617.0,-0.0024,0.1436,0.9888,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5225617.0,-0.0024,0.1436,0.9888,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5225617.0,-0.0024,0.1436,0.9888,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5225617.0,-0.0024,0.1436,0.9888,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5225617.0,-0.0024,0.1436,0.9888,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5325504.0,-0.0029,0.1411,0.9907,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5325504.0,-0.0029,0.1411,0.9907,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5325504.0,-0.0029,0.1411,0.9907,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5325504.0,-0.0029,0.1411,0.9907,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5325504.0,-0.0029,0.1411,0.9907,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5325504.0,-0.0029,0.1411,0.9907,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5325504.0,-0.0029,0.1411,0.9907,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5325504.0,-0.0029,0.1411,0.9907,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5325504.0,-0.0029,0.1411,0.9907,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5325504.0,-0.0029,0.1411,0.9907,0.24,0.0,0.0,8.3,0.14,0.53,26.1,,,,,,,,,,,,,,,,
IMU,5425430.0,-0.0034,0.1436,0.9883,0.18,0.0,0.0,8.3,0.14,0.53,26.0,,,,,,,,,,,,,,,,
