type,t_us,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
EXO,8412071,,,,,,,,,,,SAFE,-9.844,7.996,1.016,1.205,-0.015,-0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0
EXO,8512071,,,,,,,,,,,SAFE,-10.063,-4.639,0.965,1.205,0.001,-0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0
EXO,8612071,,,,,,,,,,,SAFE,-9.86,4.456,1.014,1.205,0.026,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXO,8712071,,,,,,,,,,,SAFE,-9.893,-1.892,0.986,1.205,-0.01,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXO,8812071,,,,,,,,,,,SAFE,-9.871,1.343,1.006,1.205,-0.077,-0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,8912071,,,,,,,,,,,SAFE,-9.844,-0.488,0.996,1.205,-0.187,-0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
EXO,9012071,,,,,,,,,,,SAFE,-9.833,0.061,0.999,1.205,0.076,-0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
EXO,9112071,,,,,,,,,,,SAFE,-9.728,2.563,0.993,1.205,-0.013,-0.0,0.0,0.0,-0.009,0.0,0.0,0.0,0.0,0.0,0.0
EXO,9212071,,,,,,,,,,,SAFE,-9.564,-1.404,1.006,1.205,0.011,-0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,9312071,,,,,,,,,,,SAFE,-9.443,-3.967,0.993,1.205,-0.005,-0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
EXO,9412071,,,,,,,,,,,SAFE,-9.597,5.798,0.997,1.205,0.002,-0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
EXO,9512071,,,,,,,,,,,SAFE,-9.24,-3.479,0.979,1.205,-0.073,-0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0
EXO,9612071,,,,,,,,,,,SAFE,-9.201,7.507,0.996,1.205,-0.05,-0.0,0.0,0.0,-0.011,0.0,0.0,0.0,0.0,0.0,0.0
EXO,9712071,,,,,,,,,,,SAFE,-9.025,1.404,0.992,1.205,-0.08,-0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
EXO,9812071,,,,,,,,,,,SAFE,-8.707,4.333,1.059,1.205,0.053,-0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
EXO,9912071,,,,,,,,,,,SAFE,-8.679,-0.732,1.005,1.205,-0.089,-0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
EXO,10012071,,,,,,,,,,,SAFE,-8.849,1.465,0.99,1.205,0.003,-0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0
EXO,10112071,,,,,,,,,,,SAFE,-8.723,-1.221,1.015,1.205,-0.092,-0.0,0.0,0.0,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
EXO,10212071,,,,,,,,,,,SAFE,-8.904,-2.808,0.99,1.205,0.062,-0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,10312071,,,,,,,,,,,SAFE,-8.937,-0.244,0.996,1.205,0.015,-0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,10412071,,,,,,,,,,,SAFE,-9.036,0.061,1.014,1.205,-0.053,-0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0
EXO,10512071,,,,,,,,,,,SAFE,-8.97,3.906,1.013,1.205,0.042,-0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,10612071,,,,,,,,,,,SAFE,-8.8,1.282,0.991,1.205,-0.053,-0.0,0.0,0.0,-0.017,0.0,0.0,0.0,0.0,0.0,0.0
EXO,10712071,,,,,,,,,,,SAFE,-8.685,2.197,0.996,1.205,-0.119,-0.0,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
EXO,10812071,,,,,,,,,,,SAFE,-8.652,0.244,0.996,1.205,0.06,-0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
EXO,10912071,,,,,,,,,,,SAFE,-8.707,-0.977,0.987,1.205,0.052,-0.0,0.0,0.0,-0.011,0.0,0.0,0.0,0.0,0.0,0.0
EXO,11012071,,,,,,,,,,,SAFE,-8.641,2.747,1.005,1.205,0.103,-0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,11112071,,,,,,,,,,,SAFE,-8.608,-0.732,1.005,1.205,-0.029,-0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
EXO,11212071,,,,,,,,,,,SAFE,-8.602,-0.61,1.0,1.205,0.001,-0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
EXO,11312071,,,,,,,,,,,SAFE,-8.63,-0.183,1.007,1.205,0.152,-0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
EXO,11412071,,,,,,,,,,,SAFE,-8.668,-0.366,1.006,1.205,-0.101,-0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,11512071,,,,,,,,,,,SAFE,-8.641,0.061,1.002,1.205,-0.117,-0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0
EXO,11612071,,,,,,,,,,,SAFE,-8.657,-0.427,0.997,1.205,-0.049,-0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0
EXO,11712071,,,,,,,,,,,SAFE,-8.641,-0.427,0.996,1.205,0.011,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXO,11812071,,,,,,,,,,,SAFE,-8.685,-0.183,1.002,1.205,0.076,-0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
EXO,11912071,,,,,,,,,,,SAFE,-8.69,-0.183,1.005,1.205,-0.088,-0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
EXO,12012071,,,,,,,,,,,SAFE,-8.712,0.0,1.0,1.205,0.032,-0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0
EXO,12112071,,,,,,,,,,,SAFE,-8.69,0.366,1.003,1.205,-0.015,-0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0
EXO,12212071,,,,,,,,,,,SAFE,-8.74,-0.61,1.005,1.205,0.022,-0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
EXO,12312071,,,,,,,,,,,SAFE,-8.718,1.16,0.996,1.205,0.006,-0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0
EXO,12412071,,,,,,,,,,,SAFE,-8.679,-1.221,0.996,1.205,-0.045,-0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,12512071,,,,,,,,,,,SAFE,-8.718,0.366,1.0,1.205,-0.037,-0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
EXO,12612071,,,,,,,,,,,SAFE,-8.745,-1.587,0.997,1.205,0.038,-0.0,0.0,0.0,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
EXO,12712071,,,,,,,,,,,SAFE,-8.817,0.122,1.007,1.205,0.113,-0.0,0.0,0.0,-0.008,0.0,0.0,0.0,0.0,0.0,0.0
EXO,12812071,,,,,,,,,,,SAFE,-8.855,-1.953,1.009,1.205,-0.068,-0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
EXO,12912071,,,,,,,,,,,SAFE,-8.91,0.427,1.009,1.205,0.093,-0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,13012071,,,,,,,,,,,SAFE,-8.91,-0.183,0.998,1.205,-0.042,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXO,13112071,,,,,,,,,,,SAFE,-8.904,0.305,1.001,1.205,-0.017,-0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,13212071,,,,,,,,,,,SAFE,-8.899,0.427,0.992,1.205,-0.011,-0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,13312071,,,,,,,,,,,SAFE,-8.893,-1.099,1.002,1.205,0.032,-0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,13412071,,,,,,,,,,,SAFE,-8.937,-0.244,1.008,1.205,0.036,-0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
EXO,13512071,,,,,,,,,,,SAFE,-8.948,0.122,0.989,1.205,-0.025,-0.0,0.0,0.0,-0.011,0.0,0.0,0.0,0.0,0.0,0.0
EXO,13612071,,,,,,,,,,,SAFE,-8.915,-1.038,0.993,1.205,-0.064,-0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0
EXO,13712071,,,,,,,,,,,SAFE,-8.915,1.343,1.002,1.205,-0.069,-0.0,0.0,0.0,-0.007,0.0,0.0,0.0,0.0,0.0,0.0
EXO,13812071,,,,,,,,,,,SAFE,-8.965,0.183,0.991,1.205,0.052,-0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
EXO,13912071,,,,,,,,,,,SAFE,-8.893,-1.953,0.998,1.205,0.077,-0.0,0.0,0.0,-0.035,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14012071,,,,,,,,,,,SAFE,-8.926,2.075,1.007,1.205,0.128,-0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14112071,,,,,,,,,,,SAFE,-8.959,-2.563,0.993,1.205,0.033,-0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14212071,,,,,,,,,,,SAFE,-8.954,0.183,1.01,1.205,0.015,-0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14312071,,,,,,,,,,,SAFE,-8.965,1.77,1.01,1.205,0.158,-0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14412071,,,,,,,,,,,SAFE,-8.921,-0.793,0.992,1.205,-0.049,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14512071,,,,,,,,,,,SAFE,-8.899,0.854,1.008,1.205,0.171,-0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14612071,,,,,,,,,,,SAFE,-8.882,0.671,1.011,1.205,-0.005,-0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14712071,,,,,,,,,,,SAFE,-8.91,0.122,0.99,1.205,0.03,-0.0,0.0,0.0,-0.009,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14812071,,,,,,,,,,,SAFE,-8.839,0.122,1.011,1.205,-0.066,-0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0
EXO,14912071,,,,,,,,,,,SAFE,-8.833,0.916,1.0,1.205,-0.044,-0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
EXO,15012071,,,,,,,,,,,SAFE,-8.822,-0.977,0.995,1.205,-0.083,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXO,15112071,,,,,,,,,,,SAFE,-8.817,0.244,0.994,1.205,-0.03,-0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,15212071,,,,,,,,,,,SAFE,-8.828,0.366,1.009,1.205,0.065,-0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0
