type,t_us,idx,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
IMU,8158914.0,1,0.7437,0.0474,0.6001,-6.23,0.0,-44.25,6.11,-48.57,-19.43,25.1,,,,,,,,,,,,,,,,
IMU,8250972.0,2,0.5269,0.3501,0.6787,-1.83,-13.49,12.7,29.08,-36.06,7.15,26.7,,,,,,,,,,,,,,,,
EXO,8266210,,,,,,,,,,,,SAFE,-36.063,-13.489,0.928,0.615,-0.488,-0.0,0.0,0.0,-0.364,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8256412.0,1,0.6973,0.1445,0.6743,-2.81,-13.0,-26.55,9.5,-48.53,-24.76,25.1,,,,,,,,,,,,,,,,
IMU,8250972.0,2,0.5269,0.3501,0.6787,-1.83,-13.49,12.7,29.08,-36.06,7.15,26.7,,,,,,,,,,,,,,,,
EXO,8347293,,,,,,,,,,,,SAFE,-36.063,-13.489,0.928,0.618,0.284,-0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8356540.0,1,0.7314,0.1152,0.7368,-5.0,24.48,-3.36,10.4,-46.97,-26.5,25.4,,,,,,,,,,,,,,,,
IMU,8350873.0,2,0.5952,0.3599,0.6118,-12.76,28.44,-11.23,28.06,-35.39,8.33,26.8,,,,,,,,,,,,,,,,
EXO,8447283,,,,,,,,,,,,SAFE,-35.392,28.442,0.926,0.628,-0.019,-0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8456767.0,1,0.7515,0.0996,0.7539,-7.14,-18.07,2.81,8.97,-46.54,-25.8,25.2,,,,,,,,,,,,,,,,
IMU,8450788.0,2,0.5771,0.3643,0.8379,5.62,-14.95,-2.32,27.84,-34.58,8.05,26.7,,,,,,,,,,,,,,,,
EXO,8547065,,,,,,,,,,,,SAFE,-34.579,-14.954,1.081,0.628,-0.057,-0.0,0.0,0.0,-0.018,0.0,0.0,0.0,0.0,0.0,0.0
IMU,8556957.0,1,0.7627,0.1665,0.6646,11.6,11.05,-5.55,9.79,-46.72,-25.95,25.3,,,,,,,,,,,,,,,,
IMU,8550728.0,2,0.6201,0.4395,0.729,2.56,13.85,-3.11,28.19,-34.61,7.76,26.9,,,,,,,,,,,,,,,,
