type,t_us,idx,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
IMU,6371696.0,1,-0.0059,-0.9541,0.2432,-1.59,4.76,-0.31,-75.39,1.19,0.94,24.8,,,,,,,,,,,,,,,,
IMU,6353526.0,2,0.5835,-0.7549,0.167,-4.03,6.04,0.06,-72.67,-35.65,40.69,26.7,,,,,,,,,,,,,,,,
EXO,6446093,,,,,,,,,,,,SAFE,-35.645,6.042,0.969,0.88,-0.052,-0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6471846.0,1,-0.0117,-0.9878,0.2222,-5.07,-6.77,-1.59,-76.09,0.93,1.1,24.9,,,,,,,,,,,,,,,,
IMU,6453481.0,2,0.5747,-0.7915,0.2427,-0.79,-8.18,-2.56,-73.53,-36.0,41.12,26.6,,,,,,,,,,,,,,,,
EXO,6527265,,,,,,,,,,,,SAFE,-36.002,-8.179,1.008,0.88,-0.002,-0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6572033.0,1,0.0093,-0.9683,0.2446,6.84,4.94,0.06,-75.9,0.87,1.19,24.8,,,,,,,,,,,,,,,,
IMU,6553390.0,2,0.5894,-0.7578,0.2354,1.71,7.63,0.31,-73.36,-36.1,41.28,26.6,,,,,,,,,,,,,,,,
EXO,6626646,,,,,,,,,,,,SAFE,-36.101,7.629,0.988,0.88,-0.077,-0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6672211.0,1,-0.0137,-0.9897,0.2441,-5.19,-5.86,-5.68,-76.07,0.49,1.14,24.9,,,,,,,,,,,,,,,,
IMU,6653333.0,2,0.6001,-0.7925,0.2456,-0.73,-6.84,-6.1,-73.41,-36.35,41.07,26.5,,,,,,,,,,,,,,,,
EXO,6727264,,,,,,,,,,,,SAFE,-36.348,-6.836,1.024,0.88,-0.117,-0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6772395.0,1,-0.0054,-0.9624,0.2266,5.98,2.56,2.93,-75.98,0.43,1.22,24.8,,,,,,,,,,,,,,,,
IMU,6753244.0,2,0.5728,-0.7793,0.2324,1.89,6.47,2.69,-73.32,-36.6,41.22,26.6,,,,,,,,,,,,,,,,
EXO,6826738,,,,,,,,,,,,SAFE,-36.595,6.47,0.995,0.88,0.04,-0.0,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6872591.0,1,-0.0054,-0.9575,0.2388,-2.08,-3.72,-2.01,-75.66,0.45,1.37,24.9,,,,,,,,,,,,,,,,
IMU,6853279.0,2,0.5938,-0.7529,0.2163,0.0,-1.71,-0.67,-72.89,-36.35,40.96,26.6,,,,,,,,,,,,,,,,
EXO,6927206,,,,,,,,,,,,SAFE,-36.348,-1.709,0.983,0.88,0.019,-0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6972762.0,1,0.0029,-0.9678,0.2451,5.25,1.59,2.26,-75.65,0.25,1.89,24.8,,,,,,,,,,,,,,,,
IMU,6953118.0,2,0.5762,-0.7793,0.2476,5.43,1.34,1.16,-72.87,-36.65,41.52,26.5,,,,,,,,,,,,,,,,
EXO,7026680,,,,,,,,,,,,SAFE,-36.65,1.343,1.0,0.88,-0.053,-0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
