type,t_us,idx,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
IMU,6416771.0,1,0.6543,-0.0269,0.7607,0.0,0.0,0.0,-1.97,-40.67,52.59,25.9,,,,,,,,,,,,,,,,
IMU,6382659.0,2,0.4048,0.4805,0.7744,0.0,0.0,0.0,31.94,-24.01,10.32,27.8,,,,,,,,,,,,,,,,
EXO,6436217,,,,,,,,,,,,SAFE,-24.005,0.0,0.997,1.093,0.049,-0.0,0.0,0.0,-0.011,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6516834.0,1,0.6528,-0.0269,0.7607,0.0,0.0,0.0,-1.97,-40.67,52.59,26.0,,,,,,,,,,,,,,,,
IMU,6482563.0,2,0.4092,0.4834,0.7725,0.0,0.0,0.0,31.94,-24.01,10.32,27.9,,,,,,,,,,,,,,,,
EXO,6521637,,,,,,,,,,,,SAFE,-24.011,0.0,0.999,1.092,-0.116,-0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6617021.0,1,0.6519,-0.0259,0.7622,0.0,0.0,0.0,-1.97,-40.67,52.59,26.1,,,,,,,,,,,,,,,,
IMU,6582575.0,2,0.4048,0.4805,0.7734,-0.06,0.0,0.0,31.94,-24.01,10.32,27.8,,,,,,,,,,,,,,,,
EXO,6621707,,,,,,,,,,,,SAFE,-24.005,0.0,0.996,1.093,-0.023,-0.0,0.0,0.0,-0.007,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6717200.0,1,0.6558,-0.0244,0.7583,0.0,0.0,0.0,-1.97,-40.67,52.59,25.8,,,,,,,,,,,,,,,,
IMU,6682463.0,2,0.4058,0.4824,0.7739,-0.06,0.0,0.0,31.93,-24.01,10.32,27.8,,,,,,,,,,,,,,,,
EXO,6721729,,,,,,,,,,,,SAFE,-24.011,0.0,0.998,1.093,-0.038,-0.0,0.0,0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6817388.0,1,0.6528,-0.0259,0.7598,0.0,0.0,0.0,-1.97,-40.67,52.59,26.1,,,,,,,,,,,,,,,,
IMU,6782381.0,2,0.4062,0.4839,0.7764,0.0,0.06,0.0,31.93,-24.01,10.33,27.8,,,,,,,,,,,,,,,,
EXO,6821627,,,,,,,,,,,,SAFE,-24.005,0.061,1.001,1.092,0.064,-0.0,0.0,0.0,-0.007,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6917569.0,1,0.6548,-0.0254,0.7607,0.0,0.0,0.0,-1.97,-40.67,52.59,26.0,,,,,,,,,,,,,,,,
IMU,6882271.0,2,0.4058,0.4824,0.7739,0.0,0.0,0.0,31.93,-24.01,10.33,27.8,,,,,,,,,,,,,,,,
EXO,6921676,,,,,,,,,,,,SAFE,-24.011,0.0,0.998,1.093,0.011,-0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7017744.0,1,0.6499,-0.0269,0.7637,0.0,0.0,0.0,-1.97,-40.67,52.59,26.0,,,,,,,,,,,,,,,,
IMU,6982235.0,2,0.4067,0.4819,0.7744,0.0,0.06,0.0,31.93,-24.01,10.33,27.8,,,,,,,,,,,,,,,,
EXO,7021642,,,,,,,,,,,,SAFE,-24.005,0.061,0.999,1.093,0.198,-0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7117929.0,1,0.6538,-0.0264,0.7603,0.0,0.0,0.0,-1.97,-40.67,52.59,26.0,,,,,,,,,,,,,,,,
IMU,7082139.0,2,0.4097,0.4824,0.7754,0.0,0.0,0.0,31.93,-24.01,10.33,27.7,,,,,,,,,,,,,,,,
EXO,7121629,,,,,,,,,,,,SAFE,-24.011,0.0,1.001,1.093,0.138,-0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7218102.0,1,0.6543,-0.0254,0.7598,0.0,0.0,0.0,-1.97,-40.67,52.59,26.0,,,,,,,,,,,,,,,,
IMU,7182104.0,2,0.4102,0.4839,0.7739,0.0,0.12,0.0,31.93,-24.01,10.33,27.8,,,,,,,,,,,,,,,,
EXO,7221665,,,,,,,,,,,,SAFE,-24.011,0.122,1.001,1.093,0.083,-0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7318283.0,1,0.6514,-0.0264,0.7622,0.0,0.0,0.0,-1.97,-40.67,52.59,25.9,,,,,,,,,,,,,,,,
IMU,7281981.0,2,0.4067,0.4819,0.7769,0.0,0.0,0.0,31.94,-24.01,10.33,27.7,,,,,,,,,,,,,,,,
EXO,7321643,,,,,,,,,,,,SAFE,-24.005,0.0,1.001,1.093,0.052,-0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7418467.0,1,0.6533,-0.0264,0.7612,0.0,0.0,0.0,-1.97,-40.67,52.59,26.1,,,,,,,,,,,,,,,,
IMU,7381916.0,2,0.4092,0.4829,0.772,0.0,0.0,0.0,31.93,-24.01,10.33,27.7,,,,,,,,,,,,,,,,
EXO,7421672,,,,,,,,,,,,SAFE,-24.011,0.0,0.998,1.093,0.101,-0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7518652.0,1,0.6562,-0.0244,0.7559,0.0,0.0,0.0,-1.97,-40.67,52.59,26.1,,,,,,,,,,,,,,,,
IMU,7481829.0,2,0.4062,0.4824,0.7729,0.0,0.0,0.0,31.94,-24.01,10.33,27.8,,,,,,,,,,,,,,,,
EXO,7521791,,,,,,,,,,,,SAFE,-24.011,0.0,0.998,1.092,-0.097,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMU,7618844.0,1,0.6533,-0.0269,0.7593,0.0,0.0,0.0,-1.97,-40.67,52.59,26.0,,,,,,,,,,,,,,,,
