type,t_us,idx,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
IMU,6396721.0,1,-0.936,-0.2275,0.3193,0.49,0.37,-16.91,-34.71,68.08,-6.02,27.3,,,,,,,,,,,,,,,,
IMU,6363156.0,2,-0.5366,-0.7266,0.2979,-2.38,5.0,78.61,-69.72,35.91,-3.89,27.6,,,,,,,,,,,,,,,,
EXO,6457795,,,,,,,,,,,,SAFE,38.282,5.005,0.951,0.712,-1.232,0.006,0.049,0.055,-0.055,0.0,0.04,0.0,0.0,0.0,0.0
IMU,6496882.0,1,-0.8862,-0.2241,0.356,0.37,-1.04,-7.32,-37.32,67.34,-8.99,27.1,,,,,,,,,,,,,,,,
IMU,6463069.0,2,-0.6924,-0.7139,0.2725,-1.28,6.84,66.04,-68.18,42.43,-0.9,27.9,,,,,,,,,,,,,,,,
EXO,6527152,,,,,,,,,,,,SAFE,44.808,6.836,1.031,0.619,-1.114,0.009,0.045,0.053,0.06,0.0,0.04,0.0,0.0,0.0,0.0
IMU,6597024.0,1,-0.9819,-0.2349,0.2715,2.01,9.03,-8.73,-39.06,67.68,-11.25,27.1,,,,,,,,,,,,,,,,
IMU,6562966.0,2,-0.7734,-0.5918,0.2344,-0.79,11.11,55.54,-66.63,47.82,1.45,27.7,,,,,,,,,,,,,,,,
EXO,6627153,,,,,,,,,,,,SAFE,50.197,11.108,1.002,0.503,-1.133,0.011,0.045,0.057,-0.018,0.0,0.04,0.0,0.0,0.0,0.0
IMU,6697194.0,1,-0.8906,-0.2705,0.2671,2.38,1.95,-11.72,-40.67,66.96,-13.39,27.1,,,,,,,,,,,,,,,,
IMU,6662897.0,2,-0.835,-0.4941,0.2407,1.34,5.07,49.32,-64.43,52.92,4.14,27.6,,,,,,,,,,,,,,,,
EXO,6727092,,,,,,,,,,,,SAFE,55.289,5.066,1.0,0.435,-0.048,0.014,0.002,0.016,-0.054,0.0,0.04,0.0,0.0,0.0,0.0
IMU,6797366.0,1,-0.9307,-0.2871,0.2256,-0.24,3.48,3.36,-42.73,67.42,-15.63,27.3,,,,,,,,,,,,,,,,
IMU,6762804.0,2,-0.7979,-0.4502,0.2139,-4.21,11.17,15.32,-63.69,56.35,5.53,27.9,,,,,,,,,,,,,,,,
EXO,6827144,,,,,,,,,,,,SAFE,58.722,11.169,0.941,0.436,0.022,0.015,-0.001,0.014,0.001,0.0,0.04,0.0,0.0,0.0,0.0
IMU,6897549.0,1,-0.896,-0.3125,0.2896,-0.24,-5.07,-6.71,-42.89,66.96,-15.51,27.1,,,,,,,,,,,,,,,,
IMU,6862747.0,2,-0.8374,-0.4546,0.2285,-1.16,-9.95,-5.31,-63.94,56.39,5.53,27.8,,,,,,,,,,,,,,,,
EXO,6927344,,,,,,,,,,,,SAFE,58.766,-9.949,0.98,0.438,0.213,0.015,-0.009,0.007,-0.034,0.0,0.04,0.0,0.0,0.0,0.0
IMU,6997709.0,1,-0.9331,-0.3062,0.3022,-0.85,-1.77,-7.45,-44.3,66.27,-16.91,27.0,,,,,,,,,,,,,,,,
IMU,6962652.0,2,-0.8574,-0.479,0.2339,-2.32,2.75,-14.1,-64.06,55.35,5.49,27.8,,,,,,,,,,,,,,,,
EXO,7027346,,,,,,,,,,,,SAFE,57.722,2.747,1.01,0.447,0.107,0.015,-0.004,0.01,-0.011,0.0,0.04,0.0,0.0,0.0,0.0
IMU,7097887.0,1,-0.9082,-0.3145,0.3228,3.42,-2.32,-5.8,-45.44,65.76,-18.32,27.1,,,,,,,,,,,,,,,,
IMU,7062578.0,2,-0.8403,-0.4829,0.2871,1.71,-1.04,-14.22,-65.24,54.05,4.06,27.8,,,,,,,,,,,,,,,,
EXO,7127261,,,,,,,,,,,,SAFE,56.426,-1.038,1.011,0.455,0.068,0.014,-0.003,0.011,-0.004,0.0,0.04,0.0,0.0,0.0,0.0
IMU,7198051.0,1,-0.8999,-0.3262,0.3042,4.58,3.17,-7.93,-47.07,65.01,-20.39,27.1,,,,,,,,,,,,,,,,
IMU,7162503.0,2,-0.8027,-0.5298,0.2754,4.39,11.72,-16.97,-65.92,52.62,2.96,27.9,,,,,,,,,,,,,,,,
EXO,7227160,,,,,,,,,,,,ISWING,54.998,11.719,1.0,0.524,1.189,0.014,0.65,0.164,0.053,2.5,0.1,1.047,0.0,0.0,0.0
IMU,7298204.0,1,-0.9165,-0.2646,0.335,3.48,-12.57,23.56,-46.55,65.81,-20.15,27.3,,,,,,,,,,,,,,,,
IMU,7262415.0,2,-0.8311,-0.6367,0.2134,3.78,11.23,-61.52,-68.35,49.94,-0.1,27.7,,,,,,,,,,,,,,,,
EXO,7327420,,,,,,,,,,,,ISWING,52.317,11.23,1.068,0.723,2.279,0.012,0.65,0.364,0.194,2.5,0.1,1.047,0.0,0.0,0.0
IMU,7398356.0,1,-0.9277,-0.2051,0.4082,-0.24,-10.13,34.55,-40.39,67.59,-13.32,27.2,,,,,,,,,,,,,,,,
IMU,7362344.0,2,-0.7061,-0.6699,0.2109,11.41,-9.22,-82.7,-70.1,42.84,-3.02,27.8,,,,,,,,,,,,,,,,
EXO,7427610,,,,,,,,,,,,ISWING,45.209,-9.216,0.996,0.957,2.231,0.009,0.102,0.324,0.453,2.5,0.1,1.047,0.0,0.0,0.0
IMU,7498565.0,1,-0.9795,-0.2476,0.2769,-2.08,-3.6,19.84,-34.56,69.31,-6.79,27.1,,,,,,,,,,,,,,,,
IMU,7462246.0,2,-0.585,-0.8169,0.2192,11.47,-2.44,-97.35,-71.35,34.05,-7.0,27.8,,,,,,,,,,,,,,,,
EXO,7527417,,,,,,,,,,,,ISWING,36.42,-2.441,1.028,1.099,0.765,0.005,-0.105,0.124,0.502,2.5,0.1,1.047,0.0,0.0,0.0
IMU,7598678.0,1,-0.8872,-0.2285,0.2827,-2.93,-7.26,-7.08,-31.93,68.98,-3.3,27.1,,,,,,,,,,,,,,,,
IMU,7562169.0,2,-0.4165,-0.7998,0.2271,5.43,-10.68,-53.96,-71.69,27.43,-9.22,27.8,,,,,,,,,,,,,,,,
EXO,7627426,,,,,,,,,,,,ISWING,29.8,-10.681,0.93,1.154,0.523,0.003,-0.22,-0.076,0.024,2.5,0.1,1.047,0.0,0.0,0.0
IMU,7698835.0,1,-0.8872,-0.2354,0.2808,1.04,-5.49,-10.07,-33.04,68.18,-4.08,27.1,,,,,,,,,,,,,,,,
IMU,7662094.0,2,-0.3232,-0.7964,0.2993,-5.98,-7.57,-43.46,-71.81,23.27,-10.09,27.7,,,,,,,,,,,,,,,,
EXO,7727507,,,,,,,,,,,,ISWING,25.648,-7.568,0.91,1.217,0.89,0.001,-0.413,-0.276,-0.204,2.5,0.1,1.047,0.0,0.0,0.0
IMU,7799025.0,1,-0.8931,-0.2061,0.3413,-2.69,-13.0,-1.22,-32.86,66.92,-3.57,27.1,,,,,,,,,,,,,,,,
IMU,7762005.0,2,-0.3857,-0.8779,0.3374,6.53,-11.35,-53.59,-71.68,18.98,-10.82,27.7,,,,,,,,,,,,,,,,
EXO,7827580,,,,,,,,,,,,SAFE,21.357,-11.353,1.017,1.265,-0.16,-0.001,0.006,-0.276,-0.335,0.0,0.04,0.0,0.0,0.0,0.0
IMU,7899150.0,1,-0.8857,-0.1968,0.3291,0.06,2.62,-7.75,-33.37,66.04,-3.81,27.1,,,,,,,,,,,,,,,,
IMU,7861934.0,2,-0.2837,-0.8892,0.3081,7.08,-10.99,-6.1,-70.97,15.3,-11.01,27.8,,,,,,,,,,,,,,,,
EXO,7927290,,,,,,,,,,,,SAFE,17.672,-10.986,0.983,1.262,0.166,-0.002,-0.007,-0.076,-0.161,0.0,0.04,0.0,0.0,0.0,0.0
IMU,7999304.0,1,-0.936,-0.2153,0.3286,-5.62,-5.13,-5.0,-34.38,65.87,-4.69,27.1,,,,,,,,,,,,,,,,
IMU,7961836.0,2,-0.2368,-0.9868,0.2695,-2.62,-4.88,-7.57,-70.85,15.35,-11.21,27.7,,,,,,,,,,,,,,,,
EXO,8027445,,,,,,,,,,,,SAFE,17.721,-4.883,1.05,1.266,0.032,-0.002,-0.001,-0.003,-0.013,0.0,0.04,0.0,0.0,0.0,0.0
IMU,8099467.0,1,-0.8921,-0.2524,0.3691,-3.78,-1.65,-4.09,-34.37,65.29,-4.2,27.1,,,,,,,,,,,,,,,,
IMU,8061741.0,2,-0.1841,-0.915,0.2891,4.46,-6.47,-2.99,-70.57,14.69,-10.96,27.9,,,,,,,,,,,,,,,,
EXO,8127366,,,,,,,,,,,,SAFE,17.067,-6.47,0.977,1.267,0.048,-0.002,-0.002,-0.004,-0.003,0.0,0.04,0.0,0.0,0.0,0.0
IMU,8199632.0,1,-0.8965,-0.2524,0.3574,-2.56,-5.19,-2.69,-34.76,65.07,-4.49,27.1,,,,,,,,,,,,,,,,
IMU,8161652.0,2,-0.209,-0.9458,0.3203,-0.37,-2.32,-1.28,-70.57,14.26,-11.05,27.8,,,,,,,,,,,,,,,,
EXO,8227444,,,,,,,,,,,,SAFE,16.633,-2.319,1.02,1.275,0.116,-0.002,-0.005,-0.007,0.024,0.0,0.04,0.0,0.0,0.0,0.0
IMU,8299773.0,1,-0.894,-0.2715,0.3569,-1.28,0.55,0.37,-34.85,65.07,-4.53,27.1,,,,,,,,,,,,,,,,
IMU,8261564.0,2,-0.2476,-0.9121,0.3506,-3.11,-1.83,-3.54,-70.54,13.75,-11.39,27.8,,,,,,,,,,,,,,,,
EXO,8327267,,,,,,,,,,,,SAFE,16.122,-1.831,1.008,1.275,0.021,-0.002,-0.001,-0.003,-0.05,0.0,0.04,0.0,0.0,0.0,0.0
IMU,8399925.0,1,-0.9058,-0.2583,0.3472,0.24,3.17,-0.43,-35.52,65.32,-5.45,27.3,,,,,,,,,,,,,,,,
IMU,8361474.0,2,-0.2251,-0.9165,0.3208,-6.23,4.64,-1.28,-70.78,13.68,-11.7,27.8,,,,,,,,,,,,,,,,
EXO,8427168,,,,,,,,,,,,SAFE,16.057,4.639,0.997,1.275,0.053,-0.002,-0.002,-0.004,0.001,0.0,0.04,0.0,0.0,0.0,0.0
IMU,8500083.0,1,-0.8979,-0.2549,0.3379,2.62,4.52,-1.22,-36.04,65.67,-6.25,27.1,,,,,,,,,,,,,,,,
