type,t_us,idx,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
IMU,6438398.0,1,0.5073,-0.0508,0.8643,0.0,0.0,0.0,-3.43,-30.39,0.47,26.8,,,,,,,,,,,,,,,,
IMU,6385009.0,2,0.252,0.4199,0.8682,0.12,-0.06,0.0,25.87,-14.44,-0.09,27.8,,,,,,,,,,,,,,,,
EXO,6454887,,,,,,,,,,,,SAFE,-12.068,-0.061,0.997,1.286,-0.009,0.009,0.0,0.009,0.006,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6438398.0,1,0.5073,-0.0508,0.8643,0.0,0.0,0.0,-3.43,-30.39,0.47,26.8,,,,,,,,,,,,,,,,
IMU,6484970.0,2,0.2485,0.4204,0.8716,0.12,0.0,0.0,25.87,-14.44,-0.09,27.6,,,,,,,,,,,,,,,,
EXO,6526609,,,,,,,,,,,,SAFE,-12.068,0.0,0.999,1.286,0.033,0.009,0.0,0.009,0.011,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6538627.0,1,0.5059,-0.0522,0.8647,0.0,0.06,0.0,-3.43,-30.39,0.47,26.8,,,,,,,,,,,,,,,,
IMU,6584818.0,2,0.249,0.4199,0.8726,0.06,0.06,0.0,25.86,-14.44,-0.09,27.6,,,,,,,,,,,,,,,,
EXO,6626619,,,,,,,,,,,,SAFE,-12.068,0.061,1.0,1.286,0.083,0.009,0.0,0.009,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6638800.0,1,0.5083,-0.0508,0.8599,0.0,0.06,0.0,-3.43,-30.39,0.47,26.7,,,,,,,,,,,,,,,,
IMU,6684733.0,2,0.248,0.4204,0.8721,0.0,0.06,0.0,25.86,-14.44,-0.09,27.6,,,,,,,,,,,,,,,,
EXO,6726615,,,,,,,,,,,,SAFE,-12.068,0.061,0.999,1.286,-0.037,0.009,0.0,0.009,-0.005,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6738976.0,1,0.5073,-0.0522,0.8618,0.0,0.12,0.0,-3.43,-30.39,0.47,26.7,,,,,,,,,,,,,,,,
IMU,6784634.0,2,0.25,0.4204,0.8696,0.0,0.0,0.0,25.86,-14.44,-0.09,27.7,,,,,,,,,,,,,,,,
EXO,6826603,,,,,,,,,,,,SAFE,-12.068,0.0,0.998,1.286,0.123,0.009,0.0,0.009,0.007,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6839093.0,1,0.5088,-0.0518,0.8633,0.0,0.0,0.0,-3.43,-30.38,0.47,26.7,,,,,,,,,,,,,,,,
IMU,6884595.0,2,0.249,0.4194,0.8711,0.0,0.0,0.0,25.86,-14.44,-0.09,27.6,,,,,,,,,,,,,,,,
EXO,6926635,,,,,,,,,,,,SAFE,-12.068,0.0,0.998,1.286,-0.234,0.009,0.0,0.009,0.02,0.0,0.0,0.0,0.0,0.0,0.0
