type,t_us,idx,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
IMU,6438069.0,1,0.1099,-0.9858,0.2715,-4.15,-43.64,-3.23,-73.12,-8.49,113.54,27.4,,,,,,,,,,,,,,,,
IMU,6392307.0,2,0.876,-0.4868,0.2637,25.82,-13.37,70.68,-53.67,-58.9,119.54,28.4,,,,,,,,,,,,,,,,
EXO,6455948,,,,,,,,,,,,SAFE,-56.53,-13.367,1.036,1.038,-1.452,0.006,0.0,0.006,0.107,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6438069.0,1,0.1099,-0.9858,0.2715,-4.15,-43.64,-3.23,-73.12,-8.49,113.54,27.4,,,,,,,,,,,,,,,,
IMU,6492277.0,2,0.8213,-0.5439,0.269,22.58,-57.19,72.33,-61.31,-54.27,131.92,28.4,,,,,,,,,,,,,,,,
EXO,6527820,,,,,,,,,,,,SAFE,-51.894,-57.19,1.021,0.895,-1.432,0.007,0.0,0.007,-0.133,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6538234.0,1,0.2124,-0.9219,0.3018,-18.86,-40.95,-15.14,-75.65,-11.01,117.99,27.2,,,,,,,,,,,,,,,,
IMU,6592130.0,2,0.73,-0.6616,0.2729,3.36,-27.83,52.31,-68.32,-49.84,142.94,28.4,,,,,,,,,,,,,,,,
EXO,6627987,,,,,,,,,,,,SAFE,-47.466,-27.832,1.022,0.775,-1.039,0.008,0.0,0.008,-0.085,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6638418.0,1,0.251,-0.9399,0.2573,12.51,19.59,4.21,-76.34,-12.76,120.19,27.3,,,,,,,,,,,,,,,,
IMU,6692063.0,2,0.7134,-0.7251,0.2803,-2.32,8.12,71.41,-69.35,-42.88,144.7,28.5,,,,,,,,,,,,,,,,
EXO,6727572,,,,,,,,,,,,SAFE,-40.507,8.118,1.055,0.678,-0.886,0.009,0.0,0.009,-0.033,0.0,0.0,0.0,0.0,0.0,0.0
IMU,6738609.0,1,0.0977,-0.9512,0.2383,8.61,7.32,-1.04,-74.8,-11.54,119.54,27.4,,,,,,,,,,,,,,,,
IMU,6791989.0,2,0.5381,-0.7749,0.2085,-23.07,-3.17,24.29,-71.02,-38.07,146.13,28.5,,,,,,,,,,,,,,,,
EXO,6827605,,,,,,,,,,,,SAFE,-35.695,-3.174,0.966,0.634,-0.17,0.009,0.0,0.009,0.003,0.0,0.0,0.0,0.0,0.0,0.0
